Display name,t11111,T2,t3333,T4,t7777,t78877,3,7,8,ttt2,P1,P2,p3,F1,f2,f3,C1,C2,S1,S2,S3,OP1,opppp2
Data ID,Temperature 1,Temperature 2,Temperature 3,Temperature 4,Temperature 5,Temperature 6,Temperature 7,Temperature 8,Temperature 9,Temperature 10,Pressure 1,Pressure 2,Pressure 3,Flow 1,Flow 2,Flow 3,Current 1,Current 2,Switch 1,Switch 2,Switch 3,Output 1,Output 2
Unit,DegF,DegF,DegF,DegF,DegF,DegF,DegF,DegF,DegF,DegF,PSI,PSI,PSI,GPM,GPM,GPM,Amp,Amp,No unit,No unit,No unit,Undefined,Undefined
